year,gross_margin,net_margin,operating_margin,roe,roa,current_ratio,quick_ratio,cash_ratio,debt_to_equity,debt_to_assets,equity_ratio,asset_turnover,inventory_turnover,free_cash_flow,ocf_to_net_income,cash_flow_margin,gross_margin_growth_pct,net_margin_growth_pct,operating_margin_growth_pct,roe_growth_pct,roa_growth_pct,current_ratio_growth_pct,quick_ratio_growth_pct,cash_ratio_growth_pct,debt_to_equity_growth_pct,debt_to_assets_growth_pct,equity_ratio_growth_pct,asset_turnover_growth_pct,inventory_turnover_growth_pct,free_cash_flow_growth_pct,ocf_to_net_income_growth_pct,cash_flow_margin_growth_pct,symbol
2020,67.78,30.96,37.03,37.43,14.7,2.52,2.49,0.19,1.55,60.74,39.26,0.47,24.32,76116000000,1.37,42.43,,,,,,,,,,,,,,,,,MSFT
2021,68.93,36.45,41.59,43.15,18.36,2.08,2.05,0.16,1.35,57.46,42.54,0.5,19.81,97362000000,1.25,45.65,1.69,17.73,12.33,15.29,24.91,-17.32,-17.65,-14.55,-12.68,-5.39,8.34,6.1,-18.51,27.91,-8.59,7.61,MSFT
2022,68.4,36.69,42.06,43.68,19.94,1.78,1.75,0.15,1.19,54.35,45.65,0.54,16.74,112921000000,1.22,44.91,-0.76,0.64,1.11,1.21,8.61,-14.2,-14.88,-8.68,-11.85,-5.41,7.31,7.91,-15.51,15.98,-2.27,-1.64,MSFT
2023,68.92,34.15,41.77,35.09,17.56,1.77,1.75,0.33,1.0,49.94,50.06,0.51,26.35,115689000000,1.21,41.33,0.76,-6.92,-0.67,-19.66,-11.9,-0.87,-0.01,127.43,-16.21,-8.11,9.66,-5.35,57.36,2.45,-1.12,-7.97,MSFT
2024,69.76,35.96,44.64,32.83,17.21,1.27,1.27,0.15,0.91,47.58,52.42,0.48,59.48,163025000000,1.35,48.36,1.23,5.3,6.87,-6.44,-2.03,-27.93,-27.51,-56.13,-9.03,-4.73,4.72,-6.96,125.78,40.92,11.13,17.02,MSFT
2020,38.23,20.91,24.15,87.87,17.73,1.36,1.33,0.36,3.96,79.83,20.17,0.85,41.75,87983000000,1.41,29.39,,,,,,,,,,,,,,,,,AAPL
2021,41.78,25.88,29.78,150.07,26.97,1.07,1.02,0.28,4.56,82.03,17.97,1.04,32.37,115123000000,1.1,28.44,9.27,23.76,23.34,70.79,52.18,-21.2,-22.86,-22.81,15.33,2.75,-10.9,22.97,-22.48,30.85,-21.8,-3.23,AAPL
2022,43.31,25.31,30.29,196.96,28.29,0.88,0.85,0.15,5.96,85.64,14.36,1.12,45.2,132859000000,1.22,30.98,3.66,-2.21,1.7,31.24,4.89,-18.17,-17.11,-44.85,30.63,4.4,-20.08,7.26,39.64,15.41,11.38,8.92,AAPL
2023,44.13,25.31,29.82,156.08,27.51,0.99,0.94,0.21,4.67,82.37,17.63,1.09,33.82,121502000000,1.14,28.84,1.9,-0.01,-1.54,-20.76,-2.77,12.36,11.47,34.29,-21.61,-3.81,22.7,-2.75,-25.16,-8.55,-6.88,-6.9,AAPL
2024,46.21,23.97,31.51,164.59,25.68,0.87,0.83,0.17,5.41,84.4,15.6,1.07,28.87,127701000000,1.26,30.24,4.7,-5.28,5.66,5.46,-6.64,-12.22,-12.54,-17.68,15.73,2.46,-11.47,-1.44,-14.64,5.1,10.69,4.86,AAPL
